datahora,dia,mes,ano,date,time,bt,mt,at,mat,total
2023-05-15T03:30:00+00:00,15,05,2023,2023-05-15,04:30,434605.559008,315781.764,186296.4699,69453.7127,1006137.5056080001
2023-05-15T03:45:00+00:00,15,05,2023,2023-05-15,04:45,433753.117341,316629.9929,186626.35,74483.7824,1011493.2426410001
2023-05-17T08:15:00+00:00,17,05,2023,2023-05-17,09:15,651570.906532,595641.2305,195925.0666,89549.0529,1532686.256532
2023-05-20T02:45:00+00:00,20,05,2023,2023-05-20,03:45,471062.100053,357283.7753,203903.3992,80836.9677,1113086.242253
2023-05-21T00:30:00+00:00,21,05,2023,2023-05-21,01:30,531916.135434,285379.578,186192.0063,70727.5395,1074215.259234
2023-05-24T06:15:00+00:00,24,05,2023,2023-05-24,07:15,506905.855026,477330.2658,213617.4373,64893.6996,1262747.257726
2023-05-24T08:30:00+00:00,24,05,2023,2023-05-24,09:30,653044.908166,603945.8033,206329.3142,61361.2248,1524681.2504659998
2023-05-24T09:45:00+00:00,24,05,2023,2023-05-24,10:45,661370.245018,593386.7503,197327.9997,66475.5043,1518560.499318
2023-05-25T00:15:00+00:00,25,05,2023,2023-05-25,01:15,522031.11235,417324.125,213264.4686,85294.7876,1237914.49355
2023-05-25T04:45:00+00:00,25,05,2023,2023-05-25,05:45,441599.03926,410261.9376,210863.5121,54982.5115,1117707.00046
2023-05-26T08:30:00+00:00,26,05,2023,2023-05-26,09:30,688927.071323,627619.263,216080.6163,49471.7916,1582098.7422230002
2023-05-26T11:30:00+00:00,26,05,2023,2023-05-26,12:30,759077.056794,575892.4686,211989.357,77039.1189,1623998.001294
2023-05-26T22:30:00+00:00,26,05,2023,2023-05-26,23:30,652751.935237,417138.3942,210348.9233,53129.2485,1333368.5012369999
2023-05-28T05:45:00+00:00,28,05,2023,2023-05-28,06:45,406696.275705,283218.6186,196070.6626,53603.4376,939588.994505
2023-05-28T13:45:00+00:00,28,05,2023,2023-05-28,14:45,646295.634785,297141.0093,194065.8539,82124.0049,1219626.502885
2023-05-28T19:45:00+00:00,28,05,2023,2023-05-28,20:45,760662.700744,320124.7872,199011.1601,77632.8451,1357431.493144
2023-05-29T02:00:00+00:00,29,05,2023,2023-05-29,03:00,447863.677812,307914.512,201913.0744,66382.9896,1024074.2538119999
2023-05-29T05:15:00+00:00,29,05,2023,2023-05-29,06:15,418146.555824,373014.2318,209075.4906,66060.971,1066297.249224
2023-05-29T10:30:00+00:00,29,05,2023,2023-05-29,11:30,734436.334175,624662.5595,204599.5058,56616.5914,1620314.990875
2023-05-30T01:45:00+00:00,30,05,2023,2023-05-30,02:45,458962.250402,393949.0133,208011.5577,59459.172,1120381.993402
2023-05-30T20:45:00+00:00,30,05,2023,2023-05-30,21:45,825145.419423,498340.1232,216150.5701,66099.382,1605735.4947229999
2023-05-31T00:45:00+00:00,31,05,2023,2023-05-31,01:45,489152.510817,410815.6886,207283.0413,80393.7498,1187644.990517
2023-05-31T05:30:00+00:00,31,05,2023,2023-05-31,06:30,433177.788303,444742.6232,206648.9765,75448.8603,1160018.2483030001
2023-05-31T08:45:00+00:00,31,05,2023,2023-05-31,09:45,682049.566,617387.5681,194874.5189,82157.6067,1576469.2596999998
2023-06-03T19:15:00+00:00,03,06,2023,2023-06-03,20:15,759177.738026,350490.2408,191269.9263,54226.589,1355164.4941259997
2023-06-04T10:45:00+00:00,04,06,2023,2023-06-04,11:45,690969.243122,298025.8358,185662.9006,90173.012,1264830.9915220002
2023-06-05T03:45:00+00:00,05,06,2023,2023-06-05,04:45,440950.061915,316647.0412,199353.227,86205.1616,1043155.491715
2023-06-07T05:15:00+00:00,07,06,2023,2023-06-07,06:15,438554.494371,445815.2828,216498.418,66886.0487,1167754.243871
2023-06-09T18:45:00+00:00,09,06,2023,2023-06-09,19:45,775681.021974,428891.3012,205945.3946,66675.7707,1477193.488474
2023-06-10T15:15:00+00:00,10,06,2023,2023-06-10,16:15,594774.797601,319826.8084,181144.9593,81663.1779,1177409.7432010002
2023-06-11T00:15:00+00:00,11,06,2023,2023-06-11,01:15,539631.980873,282664.2305,183318.2529,85258.2867,1090872.750973
2023-06-13T11:15:00+00:00,13,06,2023,2023-06-13,12:15,724914.587679,555638.3601,194920.6505,72713.9124,1548187.510679
